game_id,hand_id,player,received_cards_from,total_score
9,1,Dad,Kai,20
9,2,Dad,Aidan,38
9,3,Dad,Diane,77
9,4,Dad,None,92
9,5,Dad,Kai,116
9,1,Diane,Aidan,16
9,2,Diane,Kai,23
9,3,Diane,Dad,31
9,4,Diane,None,45
9,5,Diane,Aidan,50
9,1,Aidan,Dad,5
9,2,Aidan,Diane,31
9,3,Aidan,Kai,35
9,4,Aidan,None,58
9,5,Aidan,Dad,58
10,1,Kai,Diane,0
10,2,Kai,Dad,19
10,3,Kai,Aidan,45
10,4,Kai,None,65
10,5,Kai,Diane,70
10,6,Kai,Dad,70
10,7,Kai,Aidan,96
10,8,Kai,None,96
10,1,Dad,Kai,0
10,2,Dad,Aidan,0
10,3,Dad,Diane,26
10,4,Dad,None,30
10,5,Dad,Kai,31
10,6,Dad,Aidan,32
10,7,Dad,Diane,32
10,8,Dad,None,58
10,1,Diane,Aidan,24
10,2,Diane,Kai,24
10,3,Diane,Dad,50
10,4,Diane,None,50
10,5,Diane,Aidan,56
10,6,Diane,Kai,69
10,7,Diane,Dad,95
10,8,Diane,None,121
10,1,Aidan,Dad,2
10,2,Aidan,Diane,9
10,3,Aidan,Kai,9
10,4,Aidan,None,11
10,5,Aidan,Dad,25
10,6,Aidan,Diane,37
10,7,Aidan,Kai,63
10,8,Aidan,None,99
11,1,Kai,Diane,1
11,2,Kai,Dad,1
11,3,Kai,Aidan,23
11,4,Kai,None,35
11,5,Kai,Diane,45
11,6,Kai,Dad,66
11,7,Kai,Aidan,68
11,8,Kai,None,88
11,9,Kai,Diane,101
11,1,Diane,Aidan,0
11,2,Diane,Kai,24
11,3,Diane,Dad,24
11,4,Diane,None,38
11,5,Diane,Aidan,38
11,6,Diane,Kai,38
11,7,Diane,Dad,42
11,8,Diane,None,42
11,9,Diane,Aidan,66
11,1,Dad,Kai,25
11,2,Dad,Aidan,27
11,3,Dad,Diane,27
11,4,Dad,None,27
11,5,Dad,Kai,27
11,6,Dad,Aidan,27
11,7,Dad,Diane,27
11,8,Dad,None,27
11,9,Dad,Kai,31
11,1,Aidan,Dad,0
11,2,Aidan,Diane,0
11,3,Aidan,Kai,4
11,4,Aidan,None,4
11,5,Aidan,Dad,20
11,6,Aidan,Diane,25
11,7,Aidan,Kai,25
11,8,Aidan,None,31
11,9,Aidan,Dad,36
12,1,Kai,Diane,26
12,2,Kai,Dad,30
12,3,Kai,Aidan,30
12,4,Kai,None,51
12,5,Kai,Diane,56
12,6,Kai,Dad,82
12,7,Kai,Aidan,95
12,8,Kai,None,121
12,1,Aidan,Dad,26
12,2,Aidan,Diane,29
12,3,Aidan,Kai,48
12,4,Aidan,None,52
12,5,Aidan,Dad,52
12,6,Aidan,Diane,52
12,7,Aidan,Kai,52
12,8,Aidan,None,52
12,1,Dad,Kai,26
12,2,Dad,Aidan,45
12,3,Dad,Diane,45
12,4,Dad,None,46
12,5,Dad,Kai,65
12,6,Dad,Aidan,91
12,7,Dad,Diane,91
12,8,Dad,None,117
12,1,Diane,Aidan,0
12,2,Diane,Kai,0
12,3,Diane,Dad,7
12,4,Diane,None,7
12,5,Diane,Aidan,9
12,6,Diane,Kai,35
12,7,Diane,Dad,48
12,8,Diane,None,74
13,1,Kai,Diane,0
13,2,Kai,Dad,8
13,3,Kai,Aidan,24
13,4,Kai,None,44
13,5,Kai,Diane,50
13,6,Kai,Dad,53
13,7,Kai,Aidan,53
13,8,Kai,None,53
13,9,Kai,Diane,54
13,10,Kai,Dad,56
13,11,Kai,Aidan,57
13,12,Kai,None,61
13,1,Dad,Kai,9
13,2,Dad,Aidan,22
13,3,Dad,Diane,26
13,4,Dad,None,26
13,5,Dad,Kai,26
13,6,Dad,Aidan,46
13,7,Dad,Diane,48
13,8,Dad,None,53
13,9,Dad,Kai,58
13,10,Dad,Aidan,74
13,11,Dad,Diane,87
13,12,Dad,None,87
13,1,Diane,Aidan,14
13,2,Diane,Kai,14
13,3,Diane,Dad,20
13,4,Diane,None,24
13,5,Diane,Aidan,40
13,6,Diane,Kai,40
13,7,Diane,Dad,64
13,8,Diane,None,64
13,9,Diane,Aidan,84
13,10,Diane,Kai,89
13,11,Diane,Dad,93
13,12,Diane,None,111
13,1,Aidan,Dad,3
13,2,Aidan,Diane,8
13,3,Aidan,Kai,8
13,4,Aidan,None,10
13,5,Aidan,Dad,14
13,6,Aidan,Diane,17
13,7,Aidan,Kai,17
13,8,Aidan,None,38
13,9,Aidan,Dad,38
13,10,Aidan,Diane,41
13,11,Aidan,Kai,49
13,12,Aidan,None,53
14,1,Kai,Diane,0
14,2,Kai,Dad,0
14,3,Kai,Aidan,0
14,4,Kai,None,18
14,5,Kai,Diane,18
14,6,Kai,Dad,18
14,7,Kai,Aidan,22
14,1,Aidan,Dad,26
14,2,Aidan,Diane,26
14,3,Aidan,Kai,26
14,4,Aidan,None,34
14,5,Aidan,Dad,46
14,6,Aidan,Diane,46
14,7,Aidan,Kai,46
14,1,Dad,Kai,26
14,2,Dad,Aidan,48
14,3,Dad,Diane,49
14,4,Dad,None,49
14,5,Dad,Kai,49
14,6,Dad,Aidan,51
14,7,Dad,Diane,71
14,1,Diane,Aidan,26
14,2,Diane,Kai,30
14,3,Diane,Dad,55
14,4,Diane,None,55
14,5,Diane,Aidan,69
14,6,Diane,Kai,94
14,7,Diane,Dad,100
