,game_id,hand_id,player,received_cards_from,total_score,points_per_hand,percent_points_per_hand,queen_spades,moon_shooter,best_player_of_hand,best_player_of_game,game_winner,hand_position,swing_down,swing_up,no_swing,swings
83,2,11,player_2,player_4,58,0.0,0.0,0,none,player_3,player_1,player_2,1.0,0,1,0,up
84,3,1,player_1,player_4,0,0.0,0.0,0,none,player_1,player_4,player_4,1.0,0,0,0,start
85,3,2,player_1,player_2,5,5.0,12.2,0,none,player_2,player_4,player_4,2.0,0,0,1,same
86,3,3,player_1,player_3,13,8.0,19.51,0,none,player_4,player_4,player_4,2.0,0,0,1,same
87,3,4,player_1,none,21,8.0,19.51,0,none,player_4,player_4,player_4,2.0,0,0,1,same
88,3,5,player_1,player_4,22,1.0,2.44,0,none,player_4,player_4,player_4,2.0,0,0,1,same
89,3,6,player_1,player_2,22,0.0,0.0,0,none,player_1,player_4,player_4,2.0,0,0,1,same
90,3,7,player_1,player_3,25,3.0,7.32,0,none,player_2,player_4,player_4,2.0,0,0,1,same
91,3,8,player_1,none,41,16.0,39.02,1,none,player_4,player_4,player_4,2.0,0,0,1,same
92,3,1,player_3,player_1,23,23.0,22.55,1,none,player_1,player_4,player_4,4.0,0,0,0,start
93,3,2,player_3,none,37,14.0,13.73,1,none,player_2,player_4,player_4,4.0,0,0,1,same
94,3,3,player_3,player_2,42,5.0,4.9,0,none,player_4,player_4,player_4,4.0,0,0,1,same
95,3,4,player_3,player_4,45,3.0,2.94,0,none,player_4,player_4,player_4,4.0,0,0,1,same
96,3,5,player_3,player_1,51,6.0,5.88,0,none,player_4,player_4,player_4,4.0,0,0,1,same
97,3,6,player_3,none,75,24.0,23.53,1,none,player_1,player_4,player_4,4.0,0,0,1,same
98,3,7,player_3,player_2,94,19.0,18.63,1,none,player_2,player_4,player_4,4.0,0,0,1,same
99,3,8,player_3,player_4,102,8.0,7.84,0,none,player_4,player_4,player_4,4.0,0,0,1,same
100,3,1,player_4,player_3,3,3.0,20.0,0,none,player_1,player_4,player_4,3.0,0,0,0,start
101,3,2,player_4,player_1,7,4.0,26.67,0,none,player_2,player_4,player_4,3.0,0,1,0,up
102,3,3,player_4,player_2,7,0.0,0.0,0,none,player_4,player_4,player_4,1.0,0,0,1,same
103,3,4,player_4,none,9,2.0,13.33,0,none,player_4,player_4,player_4,1.0,0,0,1,same
104,3,5,player_4,player_3,9,0.0,0.0,0,none,player_4,player_4,player_4,1.0,0,0,1,same
105,3,6,player_4,player_1,11,2.0,13.33,0,none,player_1,player_4,player_4,1.0,0,0,1,same
106,3,7,player_4,player_2,15,4.0,26.67,0,none,player_2,player_4,player_4,1.0,0,0,1,same
107,3,8,player_4,none,15,0.0,0.0,0,none,player_4,player_4,player_4,1.0,0,0,1,same
108,3,1,player_2,player_1,0,0.0,0.0,0,none,player_1,player_4,player_4,2.0,0,0,0,start
109,3,2,player_2,player_3,3,3.0,6.25,0,none,player_2,player_4,player_4,1.0,1,0,0,down
110,3,3,player_2,player_4,16,13.0,27.08,1,none,player_4,player_4,player_4,3.0,0,0,1,same
111,3,4,player_2,none,29,13.0,27.08,1,none,player_4,player_4,player_4,3.0,0,0,1,same
112,3,5,player_2,player_1,48,19.0,39.58,1,none,player_4,player_4,player_4,3.0,0,0,1,same
113,3,6,player_2,player_3,48,0.0,0.0,0,none,player_1,player_4,player_4,3.0,0,0,1,same
114,3,7,player_2,player_4,48,0.0,0.0,0,none,player_2,player_4,player_4,3.0,0,0,1,same
115,3,8,player_2,none,48,0.0,0.0,0,none,player_4,player_4,player_4,3.0,0,0,1,same
116,4,1,player_1,player_4,23,23.0,21.1,1,none,player_2,player_1,player_2,4.0,0,0,0,start
117,4,2,player_1,player_2,28,5.0,4.59,0,none,player_3,player_1,player_2,4.0,0,0,1,same
118,4,3,player_1,player_3,39,11.0,10.09,0,none,player_2,player_1,player_2,4.0,0,1,0,up
119,4,4,player_1,none,39,0.0,0.0,0,none,player_1,player_1,player_2,3.0,1,0,0,down
120,4,5,player_1,player_4,50,11.0,10.09,0,none,player_4,player_1,player_2,4.0,0,0,1,same
121,4,6,player_1,player_2,50,0.0,0.0,0,none,player_1,player_1,player_2,4.0,0,1,0,up
122,4,7,player_1,player_3,53,3.0,2.75,0,none,player_2,player_1,player_2,3.0,0,0,1,same
123,4,8,player_1,none,64,11.0,10.09,0,none,player_3,player_1,player_2,3.0,0,0,1,same
124,4,9,player_1,player_4,64,0.0,0.0,0,none,player_1,player_1,player_2,3.0,1,0,0,down
125,4,10,player_1,player_2,75,11.0,10.09,0,none,player_4,player_1,player_2,4.0,0,0,1,same
126,4,11,player_1,player_3,86,11.0,10.09,0,none,player_4,player_1,player_2,4.0,0,0,1,same
127,4,12,player_1,none,109,23.0,21.1,1,none,player_3,player_1,player_2,4.0,0,0,1,same
128,4,1,player_3,player_2,1,1.0,1.28,0,none,player_2,player_1,player_2,2.0,0,0,0,start
129,4,2,player_3,player_4,1,0.0,0.0,0,none,player_3,player_1,player_2,1.0,1,0,0,down
130,4,3,player_3,player_1,14,13.0,16.67,1,none,player_2,player_1,player_2,2.0,0,0,1,same
131,4,4,player_3,none,16,2.0,2.56,0,none,player_1,player_1,player_2,2.0,0,0,1,same
132,4,5,player_3,player_2,31,15.0,19.23,1,none,player_4,player_1,player_2,2.0,0,0,1,same
133,4,6,player_3,player_4,46,15.0,19.23,1,none,player_1,player_1,player_2,2.0,0,0,1,same
134,4,7,player_3,player_1,50,4.0,5.13,0,none,player_2,player_1,player_2,2.0,0,0,1,same
135,4,8,player_3,none,50,0.0,0.0,0,none,player_3,player_1,player_2,2.0,0,1,0,up
136,4,9,player_3,player_2,50,0.0,0.0,0,none,player_1,player_1,player_2,1.0,1,0,0,down
137,4,10,player_3,player_4,63,13.0,16.67,1,none,player_4,player_1,player_2,2.0,1,0,0,down
138,4,11,player_3,player_1,78,15.0,19.23,1,none,player_4,player_1,player_2,3.0,0,0,1,same
139,4,12,player_3,none,78,0.0,0.0,0,none,player_3,player_1,player_2,3.0,0,0,1,same
140,4,1,player_4,player_3,2,2.0,2.82,0,none,player_2,player_1,player_2,3.0,0,0,0,start
141,4,2,player_4,player_1,15,13.0,18.31,1,none,player_3,player_1,player_2,3.0,0,0,1,same
142,4,3,player_4,player_2,17,2.0,2.82,0,none,player_2,player_1,player_2,3.0,1,0,0,down
143,4,4,player_4,none,41,24.0,33.8,1,none,player_1,player_1,player_2,4.0,0,1,0,up
144,4,5,player_4,player_3,41,0.0,0.0,0,none,player_4,player_1,player_2,3.0,0,0,1,same
145,4,6,player_4,player_1,47,6.0,8.45,0,none,player_1,player_1,player_2,3.0,1,0,0,down
146,4,7,player_4,player_2,66,19.0,26.76,1,none,player_2,player_1,player_2,4.0,0,0,1,same
147,4,8,player_4,none,66,0.0,0.0,0,none,player_3,player_1,player_2,4.0,0,0,1,same
148,4,9,player_4,player_3,68,2.0,2.82,0,none,player_1,player_1,player_2,4.0,0,1,0,up
149,4,10,player_4,player_1,68,0.0,0.0,0,none,player_4,player_1,player_2,3.0,0,1,0,up
150,4,11,player_4,player_2,68,0.0,0.0,0,none,player_4,player_1,player_2,2.0,0,0,1,same
151,4,12,player_4,none,71,3.0,4.23,0,none,player_3,player_1,player_2,2.0,0,0,1,same
152,4,1,player_2,player_1,0,0.0,0.0,0,none,player_2,player_1,player_2,1.0,0,0,0,start
153,4,2,player_2,player_3,8,8.0,14.81,0,none,player_3,player_1,player_2,2.0,0,1,0,up
154,4,3,player_2,player_4,8,0.0,0.0,0,none,player_2,player_1,player_2,1.0,0,0,1,same
155,4,4,player_2,none,8,0.0,0.0,0,none,player_1,player_1,player_2,1.0,0,0,1,same
156,4,5,player_2,player_1,8,0.0,0.0,0,none,player_4,player_1,player_2,1.0,0,0,1,same
157,4,6,player_2,player_3,13,5.0,9.26,0,none,player_1,player_1,player_2,1.0,0,0,1,same
158,4,7,player_2,player_4,13,0.0,0.0,0,none,player_2,player_1,player_2,1.0,0,0,1,same
159,4,8,player_2,none,28,15.0,27.78,1,none,player_3,player_1,player_2,1.0,1,0,0,down
160,4,9,player_2,player_1,52,24.0,44.44,1,none,player_1,player_1,player_2,2.0,0,1,0,up
161,4,10,player_2,player_3,54,2.0,3.7,0,none,player_4,player_1,player_2,1.0,0,0,1,same
162,4,11,player_2,player_4,54,0.0,0.0,0,none,player_4,player_1,player_2,1.0,0,0,1,same
163,4,12,player_2,none,54,0.0,0.0,0,none,player_3,player_1,player_2,1.0,0,0,1,same
164,5,1,player_1,player_4,0,0.0,0.0,0,none,player_1,player_1,player_4,1.0,0,0,0,start
165,5,2,player_1,player_2,2,2.0,2.94,0,none,player_3,player_1,player_4,1.0,1,0,0,down
166,5,3,player_1,player_3,17,15.0,22.06,1,none,player_2,player_1,player_4,2.0,1,0,0,down
167,5,4,player_1,none,37,20.0,29.41,1,none,player_4,player_1,player_4,4.0,0,1,0,up
168,5,5,player_1,player_4,37,0.0,0.0,0,none,player_1,player_1,player_4,3.0,0,0,1,same
169,5,6,player_1,player_2,38,1.0,1.47,0,none,player_3,player_1,player_4,3.0,0,0,1,same
170,5,7,player_1,player_3,64,26.0,38.24,0,player_2,player_2,player_1,player_4,3.0,0,0,1,same
171,5,8,player_1,none,68,4.0,5.88,0,none,player_4,player_1,player_4,3.0,0,0,1,same
172,5,1,player_3,player_1,12,12.0,21.43,0,none,player_1,player_1,player_4,3.0,0,0,0,start
173,5,2,player_3,none,13,1.0,1.79,0,none,player_3,player_1,player_4,3.0,0,0,1,same
174,5,3,player_3,player_2,20,7.0,12.5,0,none,player_2,player_1,player_4,3.0,0,1,0,up
175,5,4,player_3,player_4,26,6.0,10.71,0,none,player_4,player_1,player_4,2.0,0,0,1,same
176,5,5,player_3,player_1,26,0.0,0.0,0,none,player_1,player_1,player_4,2.0,0,0,1,same
177,5,6,player_3,none,26,0.0,0.0,0,none,player_3,player_1,player_4,2.0,0,0,1,same
178,5,7,player_3,player_2,52,26.0,46.43,0,player_2,player_2,player_1,player_4,2.0,0,0,1,same
179,5,8,player_3,player_4,56,4.0,7.14,0,none,player_4,player_1,player_4,2.0,0,0,1,same
180,5,1,player_4,player_3,1,1.0,2.22,0,none,player_1,player_1,player_4,2.0,0,0,0,start
181,5,2,player_4,player_1,4,3.0,6.67,0,none,player_3,player_1,player_4,2.0,0,1,0,up
182,5,3,player_4,player_2,8,4.0,8.89,0,none,player_2,player_1,player_4,1.0,0,0,1,same
183,5,4,player_4,none,8,0.0,0.0,0,none,player_4,player_1,player_4,1.0,0,0,1,same
184,5,5,player_4,player_3,9,1.0,2.22,0,none,player_1,player_1,player_4,1.0,0,0,1,same
185,5,6,player_4,player_1,19,10.0,22.22,0,none,player_3,player_1,player_4,1.0,0,0,1,same
186,5,7,player_4,player_2,45,26.0,57.78,0,player_2,player_2,player_1,player_4,1.0,0,0,1,same
187,5,8,player_4,none,45,0.0,0.0,0,none,player_4,player_1,player_4,1.0,0,0,1,same
188,5,1,player_2,player_1,13,13.0,14.29,1,none,player_1,player_1,player_4,4.0,0,0,0,start
